title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Practical Synthetic Data Generation: Balancing Privacy and the Broad Availability of Data,"[Khaled El Emam,Lucy Mosquera et al.]",28.49,166,4.1,14,0.48,0.27,0.15,0.1,0,OReilly Media,0.275333333333333
Data Analysis in Sports Science,"[Gabriel J. Sanders PhD,Corey A. Peacock PhD]",59.99,130,4.7,7,0.68,0.32,0,0,0,Independently published (August 7 2018),0.312
Python for Geospatial Data Analysis: Theory Tools and Practice for Location Intelligence,[Bonny McClain],66.49,200,,0,0,0,0,0,0,OReilly Media,0
Data Science for Librarians (Library and Information Science Text Series),,65,168,5,2,1,0,0,0,0,Libraries Unlimited (March 26 2020),0.333333333333333
Basketball Data Science: With Applications in R (Chapman & Hall/CRC Data Science Series),,43.35,219,4.1,20,0.61,0.12,0.12,0.07,0.07,Chapman and Hall/CRC,0.273333333333333
Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data Data Visualization Business Intelligence & ... Science Python & Statistics for Beginners),,14.9,153,4.4,309,0.67,0.19,0.09,0.03,0.03,Independently published (July 21 2019),0.298
Bayesian Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),,78.22,675,4.7,200,0.81,0.11,0.05,0.03,0.01,Chapman and Hall/CRC,0.314
Murachs Python for Data Analysis (Training & Reference),[Scott Mccoy],58.33,559,4.6,22,0.69,0.25,0.07,0,0,Mike Murach & Associates Inc (August 30 2021),0.310666666666667
Cracking the Coding Interview: 189 Programming Questions and Solutions,[Gayle Laakmann McDowell],35.95,687,4.7,7563,0.81,0.12,0.04,0.01,0.02,CareerCup,0.312666666666667
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,[Joshua Cook],49.49,278,3.7,10,0.29,0.27,0.27,0.17,0,Apress,0.245333333333333
Mastering PostgreSQL 13: Build administer and maintain database applications efficiently with PostgreSQL 13 4th Edition,[Hans-Jurgen Schonig],41.99,476,4.2,35,0.64,0.1,0.12,0.09,0.04,Packt Publishing,0.278666666666667
Data Analysis with Python and PySpark,[Jonathan Rioux],48,456,4.8,7,0.8,0.2,0,0,0,Manning (March 22 2022),0.32
PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book,[TechExp Academy],24.9,400,4.2,282,0.61,0.14,0.11,0.05,0.08,Independently published (December 24 2021),0.274666666666667
